term,is_vocab_term,confidence_score,original_url,preferred_label,alternative_label
air capacity,TRUE,0.97,https://soilwise-he.github.io/soil-health#AirCapacity,air capacity,
air exchange,TRUE,0.75,https://soilwise-he.github.io/soil-health#AirExchange,air exchange,
air indoor inhalation,FALSE,0.98,https://soilwise-he.github.io/soil-health#AirIndoorInhalation,air indoor inhalation,
air permeability,TRUE,0.98,https://soilwise-he.github.io/soil-health#AirPermeability,air permeability,
air quality,FALSE,0.95,https://soilwise-he.github.io/soil-health#AirQuality,air quality,
Albeluvisols,TRUE,1,https://soilwise-he.github.io/soil-health#Albeluvisols,Albeluvisols,
alfisols,TRUE,1,https://soilwise-he.github.io/soil-health#Alfisols,alfisols,
algae,FALSE,0.75,https://soilwise-he.github.io/soil-health#Algae,algae,
allochthonous materials,TRUE,0.95,https://soilwise-he.github.io/soil-health#AllochthonousMaterials,allochthonous materials,
alluvial deposits,TRUE,0.95,https://soilwise-he.github.io/soil-health#AlluvialDeposits,alluvial deposits,
aluminium,FALSE,0.85,https://soilwise-he.github.io/soil-health#Aluminium,aluminium,
aluminium oxide content,TRUE,0.95,https://soilwise-he.github.io/soil-health#AluminiumOxideContent,aluminium oxide content,
aluminium release,TRUE,0.95,https://soilwise-he.github.io/soil-health#AluminiumRelease,aluminium release,
aluminium to base cations ratio,TRUE,0.95,https://soilwise-he.github.io/soil-health#AluminiumToBaseCationsRatio,aluminium to base cations ratio,
aluminium toxicity,TRUE,0.95,https://soilwise-he.github.io/soil-health#AluminiumToxicity,aluminium toxicity,
amino acids,TRUE,0.8,https://soilwise-he.github.io/soil-health#AminoAcids,amino acids,
ammonia,TRUE,0.85,https://soilwise-he.github.io/soil-health#Ammonia,ammonia,
ammonia oxidisers,TRUE,0.95,https://soilwise-he.github.io/soil-health#AmmoniaOxidisers,ammonia oxidisers,
ammonium,TRUE,0.95,https://soilwise-he.github.io/soil-health#Ammonium,ammonium,
ammonium-based fertilisers,TRUE,0.9,https://soilwise-he.github.io/soil-health#AmmoniumBasedFertilizers,ammonium-based fertilisers,
ammonium nitrogen,TRUE,0.95,https://soilwise-he.github.io/soil-health#AmmoniumNitrogen,ammonium nitrogen,ammonium N
amoebae,FALSE,0.7,https://soilwise-he.github.io/soil-health#Amoebae,amoebae,
amount of colony forming units,FALSE,0.9,https://soilwise-he.github.io/soil-health#AmountOfColonyFormingUnits,amount of colony forming units,
amount of cultivable bacteria,FALSE,0.9,https://soilwise-he.github.io/soil-health#AmountOfCultivableBacteria,amount of cultivable bacteria,
amount of cultivable bacteria in coniferous forest stands,FALSE,0.98,https://soilwise-he.github.io/soil-health#AmountOfCultivableBacteriaInConiferousForestStands,amount of cultivable bacteria in coniferous forest stands,
amount of cultivable bacteria in deciduous forest stands,FALSE,0.92,https://soilwise-he.github.io/soil-health#AmountOfCultivableBacteriaInDeciduousForestStands,amount of cultivable bacteria in deciduous forest stands,
amount of deposition of subsoil,FALSE,0.85,https://soilwise-he.github.io/soil-health#AmountOfDepositionOfSubsoil,amount of deposition of subsoil,
amount of exposure of subsoil,FALSE,0.85,https://soilwise-he.github.io/soil-health#AmountOfExposureOfSubsoil,amount of exposure of subsoil,
amount of sediments,FALSE,0.85,https://soilwise-he.github.io/soil-health#AmountOfSediments,amount of sediments,
amount of sewage sludge applied per unit area of agricultural land,FALSE,0.95,https://soilwise-he.github.io/soil-health#AmountOfSewageSludgeAppliedPerUnitAreaOfAgriculturalLand,amount of sewage sludge applied per unit area of agricultural land,
analytical methodologies,FALSE,0.85,https://soilwise-he.github.io/soil-health#AnalyticalMethodologies,analytical methodologies,
anecics,TRUE,0.85,https://soilwise-he.github.io/soil-health#Anecics,anecics,
animal health,FALSE,0.95,https://soilwise-he.github.io/soil-health#AnimalHealth,animal health,
animal manure,TRUE,0.95,https://soilwise-he.github.io/soil-health#AnimalManure,animal manure,
animal medicines,FALSE,0.95,https://soilwise-he.github.io/soil-health#AnimalMedicines,animal medicines,
animal products,FALSE,0.95,https://soilwise-he.github.io/soil-health#AnimalProducts,animal products,
animal residues,TRUE,0.8,https://soilwise-he.github.io/soil-health#AnimalResidues,animal residues,
animal trampling,TRUE,0.85,https://soilwise-he.github.io/soil-health#AnimalTrampling,animal trampling,
animals,FALSE,0.95,https://soilwise-he.github.io/soil-health#Animals,animals,
annual soil loss,TRUE,0.95,https://soilwise-he.github.io/soil-health#AnnualSoilLoss,annual soil loss,
anoxic,FALSE,0.95,https://soilwise-he.github.io/soil-health#Anoxic,anoxic,
anthropogenic erosion,TRUE,0.92,https://soilwise-he.github.io/soil-health#AnthropogenicErosion,anthropogenic erosion,
anthropogenic processes,TRUE,0.9,https://soilwise-he.github.io/soil-health#AnthropogenicProcesses,anthropogenic processes,
antibiotics,FALSE,0.85,https://soilwise-he.github.io/soil-health#Antibiotics,antibiotics,
antimicrobials,TRUE,0.82,https://soilwise-he.github.io/soil-health#Antimicrobials,antimicrobials,
approach road network,FALSE,0.98,https://soilwise-he.github.io/soil-health#ApproachRoadNetwork,approach road network,
approaches,FALSE,0.98,https://soilwise-he.github.io/soil-health#Approaches,approaches,
aquatic ecosystems,FALSE,0.9,https://soilwise-he.github.io/soil-health#AquaticEcosystems,aquatic ecosystems,
aquatic organisms,FALSE,0.95,https://soilwise-he.github.io/soil-health#AquaticOrganisms,aquatic organisms,
arable cropping,FALSE,0.85,https://soilwise-he.github.io/soil-health#ArableCropping,arable cropping,
arable cropping systems,TRUE,0.85,https://soilwise-he.github.io/soil-health#ArableCroppingSystems,arable cropping systems,
arable crops,FALSE,0.85,https://soilwise-he.github.io/soil-health#ArableCrops,arable crops,
arable land,TRUE,0.85,https://soilwise-he.github.io/soil-health#ArableLand,arable land,
arable soils,TRUE,0.88,https://soilwise-he.github.io/soil-health#ArableSoils,arable soils,
archaea,FALSE,0.9,https://soilwise-he.github.io/soil-health#Archaea,archaea,
area between dikes,FALSE,0.87,https://soilwise-he.github.io/soil-health#AreaBetweenDikes,area between dikes,
area of organic soils,FALSE,0.85,https://soilwise-he.github.io/soil-health#AreaOfOrganicSoils,area of organic soils,
aromatic hydrocarbons,TRUE,0.9,https://soilwise-he.github.io/soil-health#AromaticHydrocarbons,aromatic hydrocarbons,
arrangement of humus constituents,TRUE,0.8,https://soilwise-he.github.io/soil-health#ArrangementOfHumusConstituents,arrangement of humus constituents,
arsenic,TRUE,0.95,https://soilwise-he.github.io/soil-health#Arsenic,arsenic,
artificial areas,FALSE,0.82,https://soilwise-he.github.io/soil-health#ArtificialAreas,artificial areas,
artificial non-agricultural vegetated areas,TRUE,0.85,https://soilwise-he.github.io/soil-health#ArtificialNonagriculturalVegetatedAreas,artificial non-agricultural vegetated areas,
artificial surfaces,TRUE,0.9,https://soilwise-he.github.io/soil-health#ArtificialSurfaces,artificial surfaces,artificial surface
artificialisation,FALSE,0.7,https://soilwise-he.github.io/soil-health#Artificialisation,artificialisation,
artificialised land,TRUE,0.8,https://soilwise-he.github.io/soil-health#ArtificialisedLand,artificialised land,
artificialised soils,TRUE,0.8,https://soilwise-he.github.io/soil-health#ArtificialisedSoils,artificialised soils,
asphalt,FALSE,0.95,https://soilwise-he.github.io/soil-health#Asphalt,asphalt,
assessment criteria,FALSE,0.9,https://soilwise-he.github.io/soil-health#AssessmentCriteria,assessment criteria,
associated land,FALSE,0.85,https://soilwise-he.github.io/soil-health#AssociatedLand,associated land,
assumptions,FALSE,1,https://soilwise-he.github.io/soil-health#Assumptions,assumptions,
atmosphere,FALSE,0.95,https://soilwise-he.github.io/soil-health#Atmosphere,atmosphere,
atmospheric deposition,TRUE,0.9,https://soilwise-he.github.io/soil-health#AtmosphericDeposition,atmospheric deposition,
attached cations,FALSE,0.7,https://soilwise-he.github.io/soil-health#AttachedCations,attached cations,
attached ions,FALSE,0.7,https://soilwise-he.github.io/soil-health#AttachedIons,attached ions,
available ions,TRUE,0.82,https://soilwise-he.github.io/soil-health#AvailableIons,available ions,
available water capacity,TRUE,1,https://soilwise-he.github.io/soil-health#AvailableWaterCapacity,available water capacity,
average pesticide consumption per unit area of agricultural land,FALSE,0.95,https://soilwise-he.github.io/soil-health#AveragePesticideConsumptionPerUnitAreaOfAgriculturalLand,average pesticide consumption per unit area of agricultural land,
azonal soils,TRUE,0.95,https://soilwise-he.github.io/soil-health#AzonalSoils,azonal soils,
BTEX,TRUE,0.85,https://soilwise-he.github.io/soil-health#BTEX,,BTEX
backfills,FALSE,0.8,https://soilwise-he.github.io/soil-health#Backfills,backfills,
background concentrations,TRUE,0.85,https://soilwise-he.github.io/soil-health#BackgroundConcentrations,background concentrations,
background levels,FALSE,0.85,https://soilwise-he.github.io/soil-health#BackgroundLevels,background levels,background values
bacteria,FALSE,0.85,https://soilwise-he.github.io/soil-health#Bacteria,bacteria,
bacteria proportion,TRUE,0.85,https://soilwise-he.github.io/soil-health#BacteriaProportion,bacteria proportion,
bacterial biomass,TRUE,0.95,https://soilwise-he.github.io/soil-health#BacterialBiomass,bacterial biomass,bacteria biomass
bacterivores,TRUE,0.92,https://soilwise-he.github.io/soil-health#Bacterivores,bacterivores,
badlands,TRUE,0.85,https://soilwise-he.github.io/soil-health#Badlands,badlands,
bait-lamina method,TRUE,0.95,https://soilwise-he.github.io/soil-health#BaitlaminaMethod,bait-lamina method,
base cation availability,TRUE,0.9,https://soilwise-he.github.io/soil-health#BaseCationAvailability,base cation availability,
base cation loss,TRUE,0.93,https://soilwise-he.github.io/soil-health#BaseCationLoss,base cation loss,
base cations,TRUE,0.98,https://soilwise-he.github.io/soil-health#BaseCations,base cations,
base saturation,TRUE,0.98,https://soilwise-he.github.io/soil-health#BaseSaturation,base saturation,
basic elements,FALSE,0.8,https://soilwise-he.github.io/soil-health#BasicElements,basic elements,
basic soil parameters,FALSE,0.85,https://soilwise-he.github.io/soil-health#BasicSoilParameters,basic soil parameters,
below-ground biological activity,TRUE,0.8,https://soilwise-he.github.io/soil-health#BelowgroundBiologicalActivity,below-ground biological activity,
below-ground biological diversity,TRUE,0.93,https://soilwise-he.github.io/soil-health#BelowgroundBiologicalDiversity,below-ground biological diversity,
below-ground compartment,FALSE,0.7,https://soilwise-he.github.io/soil-health#BelowgroundCompartment,below-ground compartment,
below-ground food web,TRUE,0.85,https://soilwise-he.github.io/soil-health#BelowgroundFoodWeb,below-ground food web,
benzene,FALSE,0.85,https://soilwise-he.github.io/soil-health#Benzene,benzene,
binding forces,TRUE,0.8,https://soilwise-he.github.io/soil-health#BindingForces,binding forces,
biochemical processes,TRUE,0.8,https://soilwise-he.github.io/soil-health#BiochemicalProcesses,biochemical processes,
biodiversity,FALSE,0.8,https://soilwise-he.github.io/soil-health#Biodiversity,biodiversity,
biological activity,TRUE,0.95,https://soilwise-he.github.io/soil-health#BiologicalActivity,biological activity,
biological compressive processes,FALSE,0.7,https://soilwise-he.github.io/soil-health#BiologicalCompressiveProcesses,biological compressive processes,
biological indicators,TRUE,0.93,https://soilwise-he.github.io/soil-health#BiologicalIndicators,biological indicators,
biological productivity,TRUE,0.88,https://soilwise-he.github.io/soil-health#BiologicalProductivity,biological productivity,
biologically mediated processes,TRUE,0.82,https://soilwise-he.github.io/soil-health#BiologicallyMediatedProcesses,biologically mediated processes,
biomass growth,FALSE,0.8,https://soilwise-he.github.io/soil-health#BiomassGrowth,biomass growth,
biomass production,TRUE,0.9,https://soilwise-he.github.io/soil-health#BiomassProduction,biomass production,
biomass productivity,TRUE,0.93,https://soilwise-he.github.io/soil-health#BiomassProductivity,biomass productivity,
biomaterials,FALSE,0.8,https://soilwise-he.github.io/soil-health#Biomaterials,biomaterials,
bioturbation,TRUE,1,https://soilwise-he.github.io/soil-health#Bioturbation,bioturbation,
blocked soil pores,FALSE,0.92,https://soilwise-he.github.io/soil-health#BlockedSoilPores,blocked soil pores,
blue light,FALSE,0.9,https://soilwise-he.github.io/soil-health#BlueLight,blue light,
boron,TRUE,0.95,https://soilwise-he.github.io/soil-health#Boron,boron,
building construction,FALSE,1,https://soilwise-he.github.io/soil-health#BuildingConstruction,building construction,
building land stock,FALSE,0.85,https://soilwise-he.github.io/soil-health#BuildingLandStock,building land stock,
buildings,FALSE,0.95,https://soilwise-he.github.io/soil-health#Buildings,buildings,
bulk density,TRUE,1,https://soilwise-he.github.io/soil-health#BulkDensity,bulk density,
bulk soils,TRUE,0.9,https://soilwise-he.github.io/soil-health#BulkSoils,bulk soils,
CAP indicators,FALSE,0.85,https://soilwise-he.github.io/soil-health#CAPIndicators,CAP indicators,
C dynamics,TRUE,0.8,https://soilwise-he.github.io/soil-health#CDynamics,C dynamics,
CO₂ loss,FALSE,0.85,https://soilwise-he.github.io/soil-health#CO2Loss,CO₂ loss,
C sequestration,TRUE,0.9,https://soilwise-he.github.io/soil-health#CSequestration,C sequestration,
cadmium,TRUE,0.85,https://soilwise-he.github.io/soil-health#Cadmium,cadmium,
Calcisols,TRUE,1,https://soilwise-he.github.io/soil-health#Calcisols,Calcisols,
calcium,TRUE,0.92,https://soilwise-he.github.io/soil-health#Calcium,calcium,
calcium availability,TRUE,0.95,https://soilwise-he.github.io/soil-health#CalciumAvailability,calcium availability,
calcium cations,TRUE,0.95,https://soilwise-he.github.io/soil-health#CalciumCations,calcium cations,
cambic luvisols,TRUE,0.95,https://soilwise-he.github.io/soil-health#CambicLuvisols,cambic luvisols,
Cambisols,TRUE,1,https://soilwise-he.github.io/soil-health#Cambisols,Cambisols,
car parks,FALSE,0.98,https://soilwise-he.github.io/soil-health#CarParks,car parks,
carbon,FALSE,0.9,https://soilwise-he.github.io/soil-health#Carbon,carbon,
carbon amount,FALSE,0.85,https://soilwise-he.github.io/soil-health#CarbonAmount,carbon amount,
carbon availability,TRUE,0.92,https://soilwise-he.github.io/soil-health#CarbonAvailability,carbon availability,
carbon cycle,TRUE,0.85,https://soilwise-he.github.io/soil-health#CarbonCycle,carbon cycle,
carbon input,TRUE,0.92,https://soilwise-he.github.io/soil-health#CarbonInput,carbon input,
carbon pool,TRUE,0.95,https://soilwise-he.github.io/soil-health#CarbonPool,carbon pool,
carbon sequestration,TRUE,0.92,https://soilwise-he.github.io/soil-health#CarbonSequestration,carbon sequestration,
carbon sources,TRUE,0.92,https://soilwise-he.github.io/soil-health#CarbonSources,carbon sources,
carbon stocks,TRUE,0.95,https://soilwise-he.github.io/soil-health#CarbonStocks,carbon stocks,
carbon storage capacity,TRUE,0.85,https://soilwise-he.github.io/soil-health#CarbonStorageCapacity,carbon storage capacity,
catches,FALSE,0.95,https://soilwise-he.github.io/soil-health#Catches,catches,
catchments,FALSE,0.85,https://soilwise-he.github.io/soil-health#Catchments,catchments,
cation exchange,TRUE,0.95,https://soilwise-he.github.io/soil-health#CationExchange,cation exchange,
cation exchange capacity,TRUE,1,https://soilwise-he.github.io/soil-health#CationExchangeCapacity,cation exchange capacity,
cemeteries,FALSE,0.98,https://soilwise-he.github.io/soil-health#Cemeteries,cemeteries,
changes in soil depth,FALSE,0.93,https://soilwise-he.github.io/soil-health#ChangesInSoilDepth,changes in soil depth,
changes in soil texture,FALSE,0.98,https://soilwise-he.github.io/soil-health#ChangesInSoilTexture,changes in soil texture,
character,FALSE,0.98,https://soilwise-he.github.io/soil-health#Character,character,
chemical absolute value,FALSE,0.9,https://soilwise-he.github.io/soil-health#ChemicalAbsoluteValue,chemical absolute value,
chemical compressive processes,FALSE,0.8,https://soilwise-he.github.io/soil-health#ChemicalCompressiveProcesses,chemical compressive processes,
chemical equilibrium,FALSE,0.75,https://soilwise-he.github.io/soil-health#ChemicalEquilibrium,chemical equilibrium,
chemical impacts on soil,FALSE,0.9,https://soilwise-he.github.io/soil-health#ChemicalImpactsOnSoil,chemical impacts on soil,
chemical input,TRUE,0.82,https://soilwise-he.github.io/soil-health#ChemicalInput,chemical input,
chemical mobility,TRUE,0.87,https://soilwise-he.github.io/soil-health#ChemicalMobility,chemical mobility,
chemical persistence,TRUE,0.93,https://soilwise-he.github.io/soil-health#ChemicalPersistence,chemical persistence,
chemical stability,TRUE,0.89,https://soilwise-he.github.io/soil-health#ChemicalStability,chemical stability,
Chernozems,TRUE,0.97,https://soilwise-he.github.io/soil-health#Chernozems,Chernozems,
chiselling,FALSE,0.9,https://soilwise-he.github.io/soil-health#Chiselling,chiselling,
chlorophyll,FALSE,0.8,https://soilwise-he.github.io/soil-health#Chlorophyll,chlorophyll,
chromium,TRUE,0.85,https://soilwise-he.github.io/soil-health#Chromium,chromium,
ciliates,TRUE,0.85,https://soilwise-he.github.io/soil-health#Ciliates,ciliates,
city areas,FALSE,0.95,https://soilwise-he.github.io/soil-health#CityAreas,city areas,
clay,TRUE,1,https://soilwise-he.github.io/soil-health#Clay,clay,
clay content,TRUE,0.98,https://soilwise-he.github.io/soil-health#ClayContent,clay content,
clay mineralogy,TRUE,0.95,https://soilwise-he.github.io/soil-health#ClayMineralogy,clay mineralogy,
clay minerals,TRUE,0.98,https://soilwise-he.github.io/soil-health#ClayMinerals,clay minerals,
clean water provision,FALSE,0.92,https://soilwise-he.github.io/soil-health#CleanWaterProvision,clean water provision,
climate,FALSE,0.9,https://soilwise-he.github.io/soil-health#Climate,climate,
climate balancing,FALSE,0.92,https://soilwise-he.github.io/soil-health#ClimateBalancing,climate balancing,
climate change,FALSE,0.9,https://soilwise-he.github.io/soil-health#ClimateChange,climate change,
climate change mitigation,FALSE,0.9,https://soilwise-he.github.io/soil-health#ClimateChangeMitigation,climate change mitigation,
climate regulation,FALSE,0.8,https://soilwise-he.github.io/soil-health#ClimateRegulation,climate regulation,
climate resilience,FALSE,0.8,https://soilwise-he.github.io/soil-health#ClimateResilience,climate resilience,
climatic changes,FALSE,0.95,https://soilwise-he.github.io/soil-health#ClimaticChanges,climatic changes,
climatic conditions,FALSE,0.9,https://soilwise-he.github.io/soil-health#ClimaticConditions,climatic conditions,
climatic origin,TRUE,0.82,https://soilwise-he.github.io/soil-health#ClimaticOrigin,climatic origin,
coarse mineral fragment content,TRUE,0.97,https://soilwise-he.github.io/soil-health#CoarseMineralFragmentContent,coarse mineral fragment content,coarse material fraction;rock fragment fraction
cobalt,TRUE,0.95,https://soilwise-he.github.io/soil-health#Cobalt,cobalt,
cold winters,FALSE,0.98,https://soilwise-he.github.io/soil-health#ColdWinters,cold winters,
collembola,TRUE,0.85,https://soilwise-he.github.io/soil-health#Collembola,collembola,
collembola frequency,TRUE,0.92,https://soilwise-he.github.io/soil-health#CollembolaFrequency,collembola frequency,
commercial areas,FALSE,0.9,https://soilwise-he.github.io/soil-health#CommercialAreas,commercial areas,commercial area
common agricultural practices,FALSE,0.95,https://soilwise-he.github.io/soil-health#CommonAgriculturalPractices,common agricultural practices,
common soil fauna,FALSE,0.9,https://soilwise-he.github.io/soil-health#CommonSoilFauna,common soil fauna,
commonly regulated heavy metals,FALSE,0.92,https://soilwise-he.github.io/soil-health#CommonlyRegulatedHeavyMetals,commonly regulated heavy metals,
community traits of roots,FALSE,0.85,https://soilwise-he.github.io/soil-health#CommunityTraitsOfRoots,community traits of roots,
community-related biomass of soil fauna,FALSE,0.8,https://soilwise-he.github.io/soil-health#CommunityrelatedBiomassOfSoilFauna,community-related biomass of soil fauna,
compaction processes,TRUE,0.95,https://soilwise-he.github.io/soil-health#CompactionProcesses,compaction processes,
compaction susceptibility,TRUE,0.9,https://soilwise-he.github.io/soil-health#CompactionSusceptibility,compaction susceptibility,
completely sealed area,FALSE,0.98,https://soilwise-he.github.io/soil-health#CompletelySealedArea,completely sealed area,
complex soil parameters,FALSE,0.9,https://soilwise-he.github.io/soil-health#ComplexSoilParameters,complex soil parameters,
complex soil physical parameters,FALSE,0.94,https://soilwise-he.github.io/soil-health#ComplexSoilPhysicalParameters,complex soil physical parameters,
composite sample analyses,FALSE,0.85,https://soilwise-he.github.io/soil-health#CompositeSampleAnalyses,composite sample analyses,
compost,TRUE,0.97,https://soilwise-he.github.io/soil-health#Compost,compost,
concentration regulation processes,FALSE,0.85,https://soilwise-he.github.io/soil-health#ConcentationRegulationProcesses,concentration regulation processes,
concentrated run-off areas,FALSE,0.8,https://soilwise-he.github.io/soil-health#ConcentratedRunoffAreas,concentrated run-off areas,
concrete,FALSE,1,https://soilwise-he.github.io/soil-health#Concrete,concrete,
condition of lands,FALSE,0.92,https://soilwise-he.github.io/soil-health#ConditionOfLands,condition of lands,
coniferous forest stands,FALSE,0.92,https://soilwise-he.github.io/soil-health#ConiferousForestStands,coniferous forest stands,
coniferous forests,FALSE,0.9,https://soilwise-he.github.io/soil-health#ConiferousForests,coniferous forests,
coniferous tree species,FALSE,0.85,https://soilwise-he.github.io/soil-health#ConiferousTreeSpecies,coniferous tree species,
connected areas,FALSE,0.85,https://soilwise-he.github.io/soil-health#ConnectedAreas,connected areas,
consistency,TRUE,0.95,https://soilwise-he.github.io/soil-health#Consistency,consistency,
construction sites,FALSE,0.98,https://soilwise-he.github.io/soil-health#ConstructionSites,construction sites,
constructions,FALSE,0.95,https://soilwise-he.github.io/soil-health#Constructions,constructions,
consumption,FALSE,0.96,https://soilwise-he.github.io/soil-health#Consumption,consumption,
contact area pressure,FALSE,0.85,https://soilwise-he.github.io/soil-health#ContactAreaPressure,contact area pressure,
contaminant inputs,TRUE,0.85,https://soilwise-he.github.io/soil-health#ContaminantInputs,contaminant inputs,
contaminants,TRUE,0.85,https://soilwise-he.github.io/soil-health#Contaminants,contaminants,
contaminated site detection,FALSE,0.92,https://soilwise-he.github.io/soil-health#ContaminatedSiteDetection,contaminated site detection,
contaminated site management,FALSE,0.92,https://soilwise-he.github.io/soil-health#ContaminatedSiteManagement,contaminated site management,
contaminated site remediation,FALSE,0.95,https://soilwise-he.github.io/soil-health#ContaminatedSiteRemediation,contaminated site remediation,
contaminated sites,FALSE,0.95,https://soilwise-he.github.io/soil-health#ContaminatedSites,contaminated sites,
contamination,FALSE,0.85,https://soilwise-he.github.io/soil-health#Contamination,contamination,
continent,FALSE,0.98,https://soilwise-he.github.io/soil-health#Continent,continent,
continental climate,FALSE,0.85,https://soilwise-he.github.io/soil-health#ContinentalClimate,continental climate,
continuous loading,FALSE,0.91,https://soilwise-he.github.io/soil-health#ContinuousLoading,continuous loading,
continuous urban fabric,FALSE,0.85,https://soilwise-he.github.io/soil-health#ContinuousUrbanFabric,continuous urban fabric,
conventionally managed fields,FALSE,0.95,https://soilwise-he.github.io/soil-health#ConventionallyManagedFields,conventionally managed fields,
cool summers,FALSE,0.97,https://soilwise-he.github.io/soil-health#CoolSummers,cool summers,
cooling,FALSE,0.95,https://soilwise-he.github.io/soil-health#Cooling,cooling,
